file_name,date,amount,vendor
BEINV24000000797074.pdf,08-06-2024,368.23,IKEA
1759751396769.jpg,24-09-2025,24.5,Boucher
BabylissPro-Hairbrush-Hairidis-16052022.pdf,16-05-2022,62.76,Di
BEINV22000000485465.pdf,15-03-2022,93.37,IKEA
